id,peer_reviewed,publisher,source,search_date,title,year,authors,type,country,school,book_title,series,num_pages,doi,journal_name,volume,keywords,abstract,tried,references,isbn
a9b0a039b32b6a89da252a78660b25a3dcf27b8d,True,ACM,ACM-58153589,2020-04-02T10:47,Serverless Data Analytics in the IBM Cloud,2018,"['(Sampé,Josep)', '(Vernik,Gil)', '(Sánchez-Artigas,Marc)', '(García-López,Pedro)']",inproceedings,"Rennes, France",,Proceedings of the 19th International Middleware Conference Industry,Middleware '18,8,10.1145/3284028.3284029,,,"['Distributed computing', ' IBM Cloud Object Storage', ' PyWren', ' IBM Cloud Functions', ' Serverless computing']",,,,
b5c2862f66cb99e4e7668921543e030f892e207c,True,ACM,ACM-58153589,2020-04-02T10:47,An Evaluation of FaaS Platforms as a Foundation for Serverless Big Data Processing,2019,"['(Kuhlenkamp,Jörn)', '(Werner,Sebastian)', '(Borges,Maria C.)', '(El Tal,Karim)', '(Tai,Stefan)']",inproceedings,"Auckland, New Zealand",,Proceedings of the 12th IEEE/ACM International Conference on Utility and Cloud Computing,UCC'19,9,10.1145/3344341.3368796,,,"['benchmarking', ' big data processing', ' cloud computing', ' serverless']",,,,
d30491136872c0e94b6b1782d1f8b7b0463310be,True,ACM,ACM-58153589,2020-04-02T10:47,"Big Data Processing at Microsoft: Hyper Scale, Massive Complexity, and Minimal Cost",2019,"['(Patel,Hiren)', '(Jindal,Alekh)', '(Szyperski,Clemens)']",inproceedings,"Santa Cruz, CA, USA",,Proceedings of the ACM Symposium on Cloud Computing,SoCC '19,1,10.1145/3357223.3366029,,,[],,,,
a72eb92bd102ed52d2336482ec370f3a86ee122b,True,ACM,ACM-58153589,2020-04-02T10:47,Serverless: beyond the cloud,2017,"['(Kanso,Ali)', '(Youssef,Alaa)']",inproceedings,"Las Vegas, Nevada",,Proceedings of the 2nd International Workshop on Serverless Computing,WoSC '17,5,10.1145/3154847.3154854,,,"['linux containers', ' serverless computing', ' function as a service', ' cloud computing']",,,,
3c4215c6997f6701c99985256530484297e6b0ee,True,ACM,ACM-58153589,2020-04-02T10:47,Real-time Serverless: Enabling Application Performance Guarantees,2019,"['(Nguyen,Hai Duc)', '(Zhang,Chaojie)', '(Xiao,Zhujun)', '(Chien,Andrew A.)']",inproceedings,"Davis, CA, USA",,Proceedings of the 5th International Workshop on Serverless Computing,WOSC '19,6,10.1145/3366623.3368133,,,"['Bursty', ' Interface', ' Real-time', ' Serverless']",,,,
3fb3584ea98737e1bd68a0e3c066e7bdeb8d7b01,True,ACM,ACM-58153589,2020-04-02T10:47,"Trust more, serverless",2019,"['(Brenner,Stefan)', '(Kapitza,Rüdiger)']",inproceedings,"Haifa, Israel",,Proceedings of the 12th ACM International Conference on Systems and Storage,SYSTOR '19,11,10.1145/3319647.3325825,,,"['serverless cloud', ' trusted function-as-a-service', ' intel SGX']",,,,
c4888c8258e86574954705704a0e0b0cf4726170,True,ACM,ACM-58153589,2020-04-02T10:47,Towards Serverless as Commodity: a case of Knative,2019,"['(Kaviani,Nima)', '(Kalinin,Dmitriy)', '(Maximilien,Michael)']",inproceedings,"Davis, CA, USA",,Proceedings of the 5th International Workshop on Serverless Computing,WOSC '19,6,10.1145/3366623.3368135,,,"['cloud', ' performance', ' scalability', ' serverless']",,,,
4c11861800c60d89826ab0f7922baa0723a5bebc,True,ACM,ACM-58153589,2020-04-02T10:47,Understanding Open Source Serverless Platforms: Design Considerations and Performance,2019,"['(Li,Junfeng)', '(Kulkarni,Sameer G.)', '(Ramakrishnan,K. K.)', '(Li,Dan)']",inproceedings,"Davis, CA, USA",,Proceedings of the 5th International Workshop on Serverless Computing,WOSC '19,6,10.1145/3366623.3368139,,,"['performance', ' serverless', ' function-as-a-service']",,,,
815cf91e6bcefe2c606775c19d6c8e7cfada0b9c,True,ACM,ACM-58153589,2020-04-02T10:47,The serverless trilemma: function composition for serverless computing,2017,"['(Baldini,Ioana)', '(Cheng,Perry)', '(Fink,Stephen J.)', '(Mitchell,Nick)', '(Muthusamy,Vinod)', '(Rabbah,Rodric)', '(Suter,Philippe)', '(Tardieu,Olivier)']",inproceedings,"Vancouver, BC, Canada",,"Proceedings of the 2017 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward! 2017,15,10.1145/3133850.3133855,,,"['composition', ' cloud', ' functional', ' serverless']",,,,
63770618400a259a3d057cad3ceff421b4ce9950,True,ACM,ACM-58153589,2020-04-02T10:47,Practical Cloud Workloads for Serverless FaaS,2019,"['(Kim,Jeongchul)', '(Lee,Kyungyong)']",inproceedings,"Santa Cruz, CA, USA",,Proceedings of the ACM Symposium on Cloud Computing,SoCC '19,1,10.1145/3357223.3365439,,,"['workload', ' faas', ' serverless', ' benchmark', ' cloud computing']",,,,
5a4001d176db8cc055638a4bd6f92632aab6bc6d,True,ACM,ACM-58153589,2020-04-02T10:47,Using a serverless framework for implementing a cognitive tutor: experiences and issues,2017,"['(Mukhi,Nirmal K)', '(Prabhu,Srijith)', '(Slawson,Bruce)']",inproceedings,"Las Vegas, Nevada",,Proceedings of the 2nd International Workshop on Serverless Computing,WoSC '17,5,10.1145/3154847.3154852,,,"['microservice orchestration', ' real-time interaction', ' serverless computing']",,,,
819049f916a278e929a26fbb1dd3d2b9c273f531,True,ACM,ACM-58153589,2020-04-02T10:47,The SPEC cloud group's research vision on FaaS and serverless architectures,2017,"['(van Eyk,Erwin)', '(Iosup,Alexandru)', '(Seif,Simon)', '(Thömmes,Markus)']",inproceedings,"Las Vegas, Nevada",,Proceedings of the 2nd International Workshop on Serverless Computing,WoSC '17,4,10.1145/3154847.3154848,,,"['serverless', ' cloud computing', ' vision', ' FaaS', ' software architecture']",,,,
58828d99c23182e93dccc56662531091883f8e43,True,ACM,ACM-58153589,2020-04-02T10:47,Self-contained web components through serverless computing,2017,"['(Ast,Markus)', '(Gaedke,Martin)']",inproceedings,"Las Vegas, Nevada",,Proceedings of the 2nd International Workshop on Serverless Computing,WoSC '17,6,10.1145/3154847.3154849,,,"['end-user development', ' web services', ' micro services', ' function as a service', ' web components', ' serverless computing']",,,,
5ed42ce56a0cc0e31e3febed195aabd9decb4762,True,ACM,ACM-58153589,2020-04-02T10:47,Serverless Workflows for Indexing Large Scientific Data,2019,"['(Skluzacek,Tyler J.)', '(Chard,Ryan)', '(Wong,Ryan)', '(Li,Zhuozhao)', '(Babuji,Yadu N.)', '(Ward,Logan)', '(Blaiszik,Ben)', '(Chard,Kyle)', '(Foster,Ian)']",inproceedings,"Davis, CA, USA",,Proceedings of the 5th International Workshop on Serverless Computing,WOSC '19,6,10.1145/3366623.3368140,,,"['data lakes', ' file systems', ' serverless', ' materials science', ' metadata extraction']",,,,
9f8764cb86e75c67a8e0befb779ab7b3e0d3c0c2,True,ACM,ACM-58153589,2020-04-02T10:47,Video processing with serverless computing: a measurement study,2019,"['(Zhang,Miao)', '(Zhu,Yifei)', '(Zhang,Cong)', '(Liu,Jiangchuan)']",inproceedings,"Amherst, Massachusetts",,Proceedings of the 29th ACM Workshop on Network and Operating Systems Support for Digital Audio and Video,NOSSDAV '19,6,10.1145/3304112.3325608,,,"['video processing', ' serverless computing', ' serverless functions']",,,,
5d41a51cdfb212521ae76837e60334a36d30f2d5,True,ACM,ACM-58153589,2020-04-02T10:47,Practical Tooling for Serverless Computing,2017,"['(Spillner,Josef)']",inproceedings,"Austin, Texas, USA",,Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17,2,10.1145/3147213.3149452,,,"['faas', ' serverless', ' tutorial', ' hosted functions', ' microservices']",,,,
0ba0066838f3cb36f285c69b7c6744b77fb83d2d,True,ACM,ACM-58153589,2020-04-02T10:47,Building a Chatbot with Serverless Computing,2016,"['(Yan,Mengting)', '(Castro,Paul)', '(Cheng,Perry)', '(Ishakian,Vatche)']",inproceedings,"Trento, Italy",,Proceedings of the 1st International Workshop on Mashups of Things and APIs,MOTA '16,4,10.1145/3007203.3007217,,,"['Serverless', ' FaaS', ' bots', ' cloud computing']",,,,
43e1ea8500195bc05d3f985bb4cdde781f607f0b,True,ACM,ACM-58153589,2020-04-02T10:47,Android-Based Mobile Application for Swine Traceability and Management System using Near Field Communication (NFC),2018,"['(Esguerra,Mischelle A.)', '(Cordero,Aubrey Rose M.)']",inproceedings,"Beijing, China",,"Proceedings of the 2018 2nd International Conference on Algorithms, Computing and Systems",ICACS '18,4,10.1145/3242840.3242865,,,"['mobile application development', ' Android application', ' Near-field communication technology', ' swine traceability']",,,,
0297d08ca960971391fa3a4cdb9ea06b18f41d9a,True,ACM,ACM-58153589,2020-04-02T10:47,Dynamic Resource Management Across Cloud-Edge Resources for Performance-Sensitive Applications,2017,"['(Shekhar,Shashank)', '(Gokhale,Aniruddha)']",inproceedings,"Madrid, Spain",,"Proceedings of the 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",CCGrid '17,4,10.1109/CCGRID.2017.120,,,"['Cloud Computing', ' CPS', ' Resource Management', ' Fog Computing', ' IoT', ' DDDAS', ' Edge Computing']",,,,
0fcc10d06d62172a99316afb4ba878a9fb4f4b2d,True,ACM,ACM-58153589,2020-04-02T10:47,Current challenges in practical object-oriented software design,2019,"['(Aniche,Maurício)', '(Yoder,Joseph W.)', '(Kon,Fabio)']",inproceedings,"Montreal, Quebec, Canada",,Proceedings of the 41st International Conference on Software Engineering: New Ideas and Emerging Results,ICSE-NIER '19,4,10.1109/ICSE-NIER.2019.00037,,,"['software architecture', ' domain modeling', ' software design', ' object-oriented design', ' software engineering', ' object-oriented programming', ' class design']",,,,
fbb5598f2b09b3e592df45cfd866871c667e7d8d,True,ACM,ACM-58153589,2020-04-02T10:47,A Fault Tolerant Distributed Self Organization in Peer To Peer (P2P) Using Krill Herd Optimization,2015,"['(Amudhavel,J.)', '(Sathian,D.)', '(Raghav,R. S.)', '(Pasupathi,L.)', '(Baskaran,R.)', '(Dhavachelvan,P.)']",inproceedings,"Unnao, India",,Proceedings of the 2015 International Conference on Advanced Research in Computer Science Engineering & Technology (ICARCSET 2015),ICARCSET '15,5,10.1145/2743065.2743088,,,"['Fault Tolerant Distributed', ' issues in p2p', ' optimization of peer-to-peer', ' Krill herd', ' KH in p2p']",,,,
b1c267203a987f3791ee333a0e858c86c6e8daf6,True,ACM,ACM-58153589,2020-04-02T10:47,Inferring analyzable models from trajectories of spatially-distributed internet of things,2019,"['(Tsigkanos,Christos)', '(Nenzi,Laura)', '(Loreti,Michele)', '(Garriga,Martin)', '(Dustdar,Schahram)', '(Ghezzi,Carlo)']",inproceedings,"Montreal, Quebec, Canada",,Proceedings of the 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS '19,7,10.1109/SEAMS.2019.00021,,,[],,,,
54befeb6a4553e34be18eff94a0a37fe16408610,True,ACM,ACM-58153589,2020-04-02T10:47,Distributed Disk Store,2020,"['(Ullah,Mohammad Samawat)', '(McGough,Stephen)']",inproceedings,"Dhaka, Bangladesh",,Proceedings of the International Conference on Computing Advancements,ICCA 2020,10,10.1145/3377049.3377091,,,"['DDS', ' Distributed Disk Store', ' Discrete-Event Simulation', ' file mirroring Distributed storage for large organization', ' Distributed file replication', ' Object based simulation model', ' Distributed Storage', ' Network storage']",,,,
38036626298feb40c7a9205b01d23d82fbc3cefb,True,ACM,ACM-58153589,2020-04-02T10:47,DeFog: fog computing benchmarks,2019,"['(McChesney,Jonathan)', '(Wang,Nan)', '(Tanwer,Ashish)', '(de Lara,Eyal)', '(Varghese,Blesson)']",inproceedings,"Arlington, Virginia",,Proceedings of the 4th ACM/IEEE Symposium on Edge Computing,SEC '19,12,10.1145/3318216.3363299,,,"['containers', ' fog computing', ' edge computing', ' benchmarking']",,,,
b6240960d08226601b67bc86ba99717d9e153a5c,True,ACM,ACM-58153589,2020-04-02T10:47,Houdini's Escape: Breaking the Resource Rein of Linux Control Groups,2019,"['(Gao,Xing)', '(Gu,Zhongshu)', '(Li,Zhengfa)', '(Jamjoom,Hani)', '(Wang,Cong)']",inproceedings,"London, United Kingdom",,Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security,CCS '19,14,10.1145/3319535.3354227,,,"['container', ' docker', ' control groups']",,,,
9ac61b634c0dd5a6e3c7aead87df7f82e95fb57b,True,ACM,ACM-58153589,2020-04-02T10:47,"To Isolate, or to Share? That is a Question for Intel SGX",2018,"['(Shen,Youren)', '(Chen,Yu)', '(Chen,Kang)', '(Tian,Hongliang)', '(Yan,Shoumeng)']",inproceedings,"Jeju Island, Republic of Korea",,Proceedings of the 9th Asia-Pacific Workshop on Systems,APSys '18,8,10.1145/3265723.3265727,,,"['Intel MPX', ' Intel SGX', ' Library OS', ' Software Fault Isolation']",,,,
65b501e967a19634f9de6024af7bfd41b1e020b3,True,ACM,ACM-58153589,2020-04-02T10:47,A pattern language for scalable microservices-based systems,2018,"['(Márquez,Gastón)', '(Villegas,Mónica M.)', '(Astudillo,Hernán)']",inproceedings,"Madrid, Spain",,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,7,10.1145/3241403.3241429,,,"['scalability', ' pattern language', ' microservices', ' software architecture']",,,,
7828da662952be452e66704c1aa7f2f216e72817,True,ACM,ACM-58153589,2020-04-02T10:47,Humanware: The Critical Role of People in Supporting Research in the Cloud,2019,"['(Voss,Brian D.)']",inproceedings,"Chicago, IL, USA",,Proceedings of the Humans in the Loop: Enabling and Facilitating Research on Cloud Computing,HARC '19,6,10.1145/3355738.3357001,,,"['cyberinfrastructure', ' support', ' cloud computing']",,,,
dd0297a397725e3eb0076cc28392d24c161272cc,True,ACM,ACM-58153589,2020-04-02T10:47,Unikernels: The Next Stage of Linux's Dominance,2019,"['(Raza,Ali)', '(Sohal,Parul)', '(Cadden,James)', '(Appavoo,Jonathan)', '(Drepper,Ulrich)', '(Jones,Richard)', '(Krieger,Orran)', '(Mancuso,Renato)', '(Woodman,Larry)']",inproceedings,"Bertinoro, Italy",,Proceedings of the Workshop on Hot Topics in Operating Systems,HotOS '19,7,10.1145/3317550.3321445,,,"['Library Operating Systems', ' Operating Systems', ' Linux', ' Unikernels']",,,,
7bb1b7e1e862b8dd86bc5d4b6744e3a57e090b11,True,ACM,ACM-58153589,2020-04-02T10:47,Container Density Improvements with Dynamic Memory Extension using NAND Flash,2018,"['(Rellermeyer,Jan S.)', '(Amer,Maher)', '(Smutzer,Richard)', '(Rajamani,Karthick)']",inproceedings,"Jeju Island, Republic of Korea",,Proceedings of the 9th Asia-Pacific Workshop on Systems,APSys '18,7,10.1145/3265723.3265740,,,[],,,,
77a91678e5e4b0b5dc11caaa9f528ecfab0996f1,True,ACM,ACM-58153589,2020-04-02T10:47,Service fabric: a distributed platform for building microservices in the cloud,2018,"['(Kakivaya,Gopal)', '(Xun,Lu)', '(Hasha,Richard)', '(Ahsan,Shegufta Bakht)', '(Pfleiger,Todd)', '(Sinha,Rishi)', '(Gupta,Anurag)', '(Tarta,Mihail)', '(Fussell,Mark)', '(Modi,Vipul)', '(Mohsin,Mansoor)', '(Kong,Ray)', '(Ahuja,Anmol)', '(Platon,Oana)', '(Wun,Alex)', '(Snider,Matthew)', '(Daniel,Chacko)', '(Mastrian,Dan)', '(Li,Yang)', '(Rao,Aprameya)', '(Kidambi,Vaishnav)', '(Wang,Randy)', '(Ram,Abhishek)', '(Shivaprakash,Sumukh)', '(Nair,Rajeet)', '(Warwick,Alan)', '(Narasimman,Bharat S.)', '(Lin,Meng)', '(Chen,Jeffrey)', '(Mhatre,Abhay Balkrishna)', '(Subbarayalu,Preetha)', '(Coskun,Mert)', '(Gupta,Indranil)']",inproceedings,"Porto, Portugal",,Proceedings of the Thirteenth EuroSys Conference,EuroSys '18,15,10.1145/3190508.3190546,,,"['distributed systems', ' failure detection', ' production systems', ' microservices', ' scheduling']",,,,
e48755cefb2d6f9e8c7180716b594bd690a7adc2,True,ACM,ACM-58153589,2020-04-02T10:47,A new architecture and implementation strategy for non-invasive software measurement systems,2018,"['(Bykov,Anton)', '(Ivanov,Vladimir)', '(Rogers,Alan)', '(Shunevich,Alexandr)', '(Sillitti,Alberto)', '(Succi,Giancarlo)', '(Tormasov,Alexander)', '(Yi,Jooyong)', '(Zabirov,Albert)', '(Zaplatnikov,Denis)']",inproceedings,"Pau, France",,Proceedings of the 33rd Annual ACM Symposium on Applied Computing,SAC '18,8,10.1145/3167132.3167327,,,"['non-invasive sensors', ' software architecture', ' software measurement']",,,,
3cc4d620a015d022b20a48b0ae6d23992d5352be,True,ACM,ACM-58153589,2020-04-02T10:47,ProSign Everywhere - Addressing Communication Empowerment Goals for Deaf People,2019,"['(Di Gregorio,Marianna)', '(Sebillo,Monica)', '(Vitiello,Giuliana)', '(Pizza,Antonio)', '(Vitale,Federico)']",inproceedings,"Valencia, Spain",,Proceedings of the 5th EAI International Conference on Smart Objects and Technologies for Social Good,GoodTechs '19,6,10.1145/3342428.3342695,,,"['Accessibility', ' Assistive technology', ' American Sign Language learning', ' Hard of hearing', ' Usability requirement', ' Deaf', ' Universal design']",,,,
42e287e9de513c581dbe60d9ad627efa6ecb301f,True,ACM,ACM-58153589,2020-04-02T10:47,Stochastic resource allocation,2019,"['(Funaro,Liran)', '(Ben-Yehuda,Orna Agmon)', '(Schuster,Assaf)']",inproceedings,"Providence, RI, USA",,Proceedings of the 15th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,VEE 2019,15,10.1145/3313808.3313815,,,"['Cloud', ' Resource-Allocation', ' Pricing', ' Scheduler']",,,,
6912921701a3eda6263f15470095da4e55328697,True,ACM,ACM-58153589,2020-04-02T10:47,Case study on data communication in microservice architecture,2019,"['(Smid,Antonin)', '(Wang,Ruolin)', '(Cerny,Tomas)']",inproceedings,"Chongqing, China",,Proceedings of the Conference on Research in Adaptive and Convergent Systems,RACS '19,7,10.1145/3338840.3355659,,,"['cloud-computing', ' microservices', ' system integration']",,,,
ed34713fc1548ceed7599f0fb273ca89ee7be2e8,True,ACM,ACM-58153589,2020-04-02T10:47,Challenges in adopting continuous delivery and DevOps in a globally distributed product team: a case study of a healthcare organization,2019,"['(Gupta,Rajeev Kumar)', '(Venkatachalapathy,Mekanathan)', '(Jeberla,Ferose Khan)']",inproceedings,"Montreal, Quebec, Canada",,Proceedings of the 14th International Conference on Global Software Engineering,ICGSE '19,5,10.1109/ICGSE.2019.00-10,,,"['test as code', ' operation as code', ' DevOps', ' continuous delivery']",,,,
82dcef4bb469c581aa8db4468053596ab30cfac9,True,ACM,ACM-58153589,2020-04-02T10:47,The Barriers to Overthrowing Internet Feudalism,2017,"['(Liu,Tai)', '(Tariq,Zain)', '(Chen,Jay)', '(Raghavan,Barath)']",inproceedings,"Palo Alto, CA, USA",,Proceedings of the 16th ACM Workshop on Hot Topics in Networks,HotNets-XVI,8,10.1145/3152434.3152454,,,[],,,,
27016525fd01b8a164a8c587f6088bdf762e33a3,True,ACM,ACM-58153589,2020-04-02T10:47,BurScale: Using Burstable Instances for Cost-Effective Autoscaling in the Public Cloud,2019,"['(Baarzi,Ataollah Fatahi)', '(Zhu,Timothy)', '(Urgaonkar,Bhuvan)']",inproceedings,"Santa Cruz, CA, USA",,Proceedings of the ACM Symposium on Cloud Computing,SoCC '19,13,10.1145/3357223.3362706,,,"['cloud computing', ' autoscaling', ' resource provisioning', ' burstable instances']",,,,
ef05e7098a9c881e13526d982ec235a543d6f5d9,True,ACM,ACM-58153589,2020-04-02T10:47,Online recognition of people's activities from raw GPS data: semantic trajectory data analysis,2015,"['(Boukhechba,Mehdi)', '(Bouzouane,Abdenour)', '(Bouchard,Bruno)', '(Gouin-Vallerand,Charles)', '(Giroux,Sylvain)']",inproceedings,"Corfu, Greece",,Proceedings of the 8th ACM International Conference on PErvasive Technologies Related to Assistive Environments,PETRA '15,8,10.1145/2769493.2769498,,,"['semantic enrichment', ' online clustering', ' GPS data', ' human activities']",,,,
1dec660421610384d57289f9d0bfec44d43a9ecc,True,ACM,ACM-58153589,2020-04-02T10:47,ICON: Intelligent Container Overlays,2018,"['(Zavodovski,Aleksandr)', '(Mohan,Nitinder)', '(Bayhan,Suzan)', '(Wong,Walter)', '(Kangasharju,Jussi)']",inproceedings,"Redmond, WA, USA",,Proceedings of the 17th ACM Workshop on Hot Topics in Networks,HotNets '18,7,10.1145/3286062.3286065,,,[],,,,
4f939517e471d7b64a5330b6a3a5a02c1bed73cc,True,ACM,ACM-58153589,2020-04-02T10:47,Active domain-specific languages: making every mobile user a modeller,2017,"['(Vaquero-Melchor,Diego)', '(Palomares,Javier)', '(Guerra,Esther)', '(de Lara,Juan)']",inproceedings,"Austin, Texas",,Proceedings of the ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems,MODELS '17,8,10.1109/MODELS.2017.13,,,"['graphical modelling language', ' mobile application', ' flexible modelling', ' active DSL', ' API integration']",,,,
